Food,Nutrients
Salmon,"Omega-3, Protein, Vitamin D"
Avocado,"Healthy Fats, Fiber, Potassium"
Broccoli,"Vitamin C, Fiber, Antioxidants"
Oats,"Fiber, Iron, Magnesium"
Blueberries,"Antioxidants, Vitamin C, Fiber"
Greek Yogurt,"Protein, Calcium, Probiotics"
Spinach,"Iron, Calcium, Vitamin K"
Chia Seeds,"Omega-3, Fiber, Protein"
Almonds,"Vitamin E, Magnesium, Healthy Fats"
Sweet Potato,"Beta-Carotene, Fiber, Potassium"
Lentils,"Protein, Fiber, Folate"
Eggs,"Protein, Vitamin B12, Choline"
Tomatoes,"Vitamin C, Lycopene, Potassium"
Green Tea,"Antioxidants, Catechins, L-theanine"
Walnuts,"Omega-3, Antioxidants, Protein"
Carrots,"Beta-Carotene, Vitamin K, Fiber"
Garlic,"Allicin, Manganese, Vitamin B6"
Pumpkin Seeds,"Zinc, Magnesium, Iron"
Mushrooms,"Vitamin D, Selenium, Fiber"
Quinoa,"Complete Protein, Fiber, Magnesium"
